datetime,open,high,low,close,volume,EMA_9,EMA_18,EMA_50,SMA_50,PDH,PDL,PD_EQ,PWH,PWL,PW_EQ,WH,WL,is_green_day,is_red_day,is_GSD,is_RSD,is_GD,is_RD,day_type,day_count
2026-03-06 23:45:00,5165.18,5167.875,5156.87,5161.08,12857.0,5149.607137633117,5139.976641460726,5122.84847959867,5113.793500000001,5195.22,5050.905,5123.0625,5281.155,5130.235,5205.695,5419.66,4996.275,True,False,True,False,False,False,GSD,1
2026-03-07 00:00:00,5161.07,5171.405,5160.515,5171.405,12499.0,5153.966710106494,5143.284889728017,5124.75265686931,5114.7942,5171.89,5055.775,5113.8325,5281.155,5130.235,5205.695,5419.66,4996.275,True,False,False,False,True,False,GD,2
2026-03-07 00:15:00,5171.295,5174.67,5164.51,5165.365,11393.0,5156.246368085196,5145.609111861911,5126.345297776396,5115.7859,5171.89,5055.775,5113.8325,5281.155,5130.235,5205.695,5419.66,4996.275,True,False,False,False,True,False,GD,2
2026-03-07 00:30:00,5165.29,5168.215,5157.76,5158.305,11971.0,5156.658094468157,5146.945521139604,5127.598619432225,5116.7173999999995,5171.89,5055.775,5113.8325,5281.155,5130.235,5205.695,5419.66,4996.275,True,False,False,False,True,False,GD,2
2026-03-07 00:45:00,5158.285,5163.96,5156.79,5159.73,13992.0,5157.272475574526,5148.291255756488,5128.858673572138,5117.6144,5171.89,5055.775,5113.8325,5281.155,5130.235,5205.695,5419.66,4996.275,True,False,False,False,True,False,GD,2
2026-03-07 01:00:00,5159.9,5162.63,5153.925,5155.295,13624.0,5156.876980459621,5149.028491992647,5129.895392255584,5118.4337,5171.89,5055.775,5113.8325,5281.155,5130.235,5205.695,5419.66,4996.275,True,False,False,False,True,False,GD,2
2026-03-07 01:15:00,5155.31,5160.655,5152.665,5153.825,13161.0,5156.266584367698,5149.533387572368,5130.833808245561,5119.1163,5171.89,5055.775,5113.8325,5281.155,5130.235,5205.695,5419.66,4996.275,True,False,False,False,True,False,GD,2
2026-03-07 01:30:00,5153.85,5161.615,5149.34,5157.77,11280.0,5156.567267494159,5150.400399406855,5131.890129490834,5119.9589,5171.89,5055.775,5113.8325,5281.155,5130.235,5205.695,5419.66,4996.275,True,False,False,False,True,False,GD,2
2026-03-07 01:45:00,5157.725,5160.815,5150.695,5153.345,14226.0,5155.9228139953275,5150.710357364029,5132.731496961781,5121.011399999999,5171.89,5055.775,5113.8325,5281.155,5130.235,5205.695,5419.66,4996.275,True,False,False,False,True,False,GD,2
2026-03-07 02:00:00,5153.34,5167.63,5150.99,5165.21,6494.0,5157.780251196263,5152.2366355362365,5134.0051637475935,5122.158,5171.89,5055.775,5113.8325,5281.155,5130.235,5205.695,5419.66,4996.275,True,False,False,False,True,False,GD,2
2026-03-07 02:15:00,5165.225,5170.59,5164.87,5168.42,2582.0,5159.90820095701,5153.940147585054,5135.354765169257,5123.350399999999,5171.89,5055.775,5113.8325,5281.155,5130.235,5205.695,5419.66,4996.275,True,False,False,False,True,False,GD,2
2026-03-07 02:30:00,5168.315,5172.385,5166.52,5170.645,2817.0,5162.055560765608,5155.698553102417,5136.738695946933,5124.8467,5171.89,5055.775,5113.8325,5281.155,5130.235,5205.695,5419.66,4996.275,True,False,False,False,True,False,GD,2
2026-03-07 02:45:00,5170.615,5176.63,5169.275,5171.5,2332.0,5163.944448612487,5157.361863302162,5138.101884341171,5126.294900000001,5171.89,5055.775,5113.8325,5281.155,5130.235,5205.695,5419.66,4996.275,True,False,False,False,True,False,GD,2
2026-03-09 03:00:00,5171.95,5171.95,5118.53,5159.265,13747.0,5163.008558889989,5157.562193480882,5138.93181044544,5127.5527999999995,5176.63,5149.34,5162.985000000001,5419.66,4996.275,5207.9675,5171.95,5118.53,False,True,False,True,False,False,RSD,1
2026-03-09 03:15:00,5159.265,5160.335,5127.025,5156.065,20274.0,5161.6198471119915,5157.404594167106,5139.603700231893,5128.9598,5176.63,5149.34,5162.985000000001,5419.66,4996.275,5207.9675,5171.95,5118.53,False,True,False,True,False,False,RSD,1
2026-03-09 03:30:00,5156.09,5164.55,5106.455,5125.92,20417.0,5154.479877689593,5154.090426360042,5139.067084536525,5129.8228,5176.63,5149.34,5162.985000000001,5419.66,4996.275,5207.9675,5171.95,5106.455,False,True,False,True,False,False,RSD,1
2026-03-09 03:45:00,5125.935,5134.605,5104.345,5130.31,16983.0,5149.645902151675,5151.587223585301,5138.723669456662,5130.6796,5176.63,5149.34,5162.985000000001,5419.66,4996.275,5207.9675,5171.95,5104.345,False,True,False,True,False,False,RSD,1
2026-03-09 04:00:00,5130.31,5136.2,5093.745,5102.065,20239.0,5140.12972172134,5146.374357944743,5137.286074576008,5131.0826,5176.63,5149.34,5162.985000000001,5419.66,4996.275,5207.9675,5171.95,5093.745,False,True,False,True,False,False,RSD,1
2026-03-09 04:15:00,5102.055,5107.105,5095.045,5104.875,10734.0,5133.078777377073,5142.006004476875,5136.0150520436155,5131.3575,5176.63,5149.34,5162.985000000001,5419.66,4996.275,5207.9675,5171.95,5093.745,False,True,False,True,False,False,RSD,1
2026-03-09 04:30:00,5104.88,5105.53,5044.14,5072.845,16165.0,5121.0320219016585,5134.725898742467,5133.5377951007285,5131.088100000001,5176.63,5149.34,5162.985000000001,5419.66,4996.275,5207.9675,5171.95,5044.14,False,True,False,True,False,False,RSD,1
2026-03-09 04:45:00,5072.85,5080.39,5054.25,5076.01,23454.0,5112.027617521328,5128.545277822207,5131.281803135995,5130.7157,5176.63,5149.34,5162.985000000001,5419.66,4996.275,5207.9675,5171.95,5044.14,False,True,False,True,False,False,RSD,1
