datetime,open,high,low,close,volume,EMA_9,EMA_18,EMA_50,SMA_50,PDH,PDL,PD_EQ,PWH,PWL,PW_EQ,WH,WL,GD,RD,GSD,RSD,inside_day,FBR,FBR_bull,FBR_bear,clean_BO,clean_BO_bull,clean_BO_bear
2026-04-01 16:30:00,4745.215,4762.905,4745.005,4760.465,10377.0,4737.282456957296,4728.22913028985,4704.710057091635,4706.706099999999,4687.335,4482.66,4584.9974999999995,4602.645,4099.125,4350.885,4762.905,4417.43,True,False,False,False,False,,,,,,
2026-04-01 16:45:00,4760.535,4761.62,4752.56,4752.565,9590.0,4740.338965565837,4730.790800785655,4706.586721519414,4708.113,4687.335,4482.66,4584.9974999999995,4602.645,4099.125,4350.885,4762.905,4417.43,True,False,False,False,False,,,,,,
2026-04-01 17:00:00,4752.61,4753.725,4739.38,4743.735,8931.0,4741.018172452669,4732.153348071375,4708.043516753947,4709.1663,4687.335,4482.66,4584.9974999999995,4602.645,4099.125,4350.885,4762.905,4417.43,True,False,False,False,False,,,,,,
2026-04-01 17:15:00,4743.485,4745.9,4724.725,4735.925,14370.0,4739.999537962136,4732.550364063862,4709.136908253792,4709.956,4687.335,4482.66,4584.9974999999995,4602.645,4099.125,4350.885,4762.905,4417.43,True,False,False,False,False,,,,,,
2026-04-01 17:30:00,4735.79,4752.995,4730.955,4748.975,12717.0,4741.794630369709,4734.279273109771,4710.699186361487,4710.8657,4687.335,4482.66,4584.9974999999995,4602.645,4099.125,4350.885,4762.905,4417.43,True,False,False,False,False,,,,,,
2026-04-01 17:45:00,4748.925,4753.305,4724.4,4724.775,28362.0,4738.390704295767,4733.278823308742,4711.2511790531935,4710.924,4687.335,4482.66,4584.9974999999995,4602.645,4099.125,4350.885,4762.905,4417.43,True,False,False,False,False,,,,,,
2026-04-01 18:00:00,4724.82,4733.9,4716.28,4731.81,16951.0,4737.074563436614,4733.124210328874,4712.0574073256175,4711.4263,4687.335,4482.66,4584.9974999999995,4602.645,4099.125,4350.885,4762.905,4417.43,True,False,False,False,False,,,,,,
2026-04-01 18:15:00,4731.705,4742.465,4730.935,4736.14,9925.0,4736.887650749291,4733.441661873203,4713.001822724614,4711.9307,4687.335,4482.66,4584.9974999999995,4602.645,4099.125,4350.885,4762.905,4417.43,True,False,False,False,False,,,,,,
2026-04-01 18:30:00,4736.135,4749.715,4730.84,4743.615,28260.0,4738.233120599433,4734.51253957076,4714.202339480512,4712.6402,4687.335,4482.66,4584.9974999999995,4602.645,4099.125,4350.885,4762.905,4417.43,True,False,False,False,False,,,,,,
2026-04-01 18:45:00,4743.43,4748.975,4734.05,4738.355,23195.0,4738.257496479547,4734.917009089628,4715.149502638139,4713.241899999999,4687.335,4482.66,4584.9974999999995,4602.645,4099.125,4350.885,4762.905,4417.43,True,False,False,False,False,,,,,,
2026-04-01 19:00:00,4738.48,4747.11,4724.3,4744.64,31247.0,4739.533997183637,4735.940481817035,4716.305992730761,4714.377100000001,4687.335,4482.66,4584.9974999999995,4602.645,4099.125,4350.885,4762.905,4417.43,True,False,False,False,False,,,,,,
2026-04-01 19:15:00,4744.585,4754.94,4730.61,4742.135,24977.0,4740.05419774691,4736.592536362611,4717.3188949766145,4715.3638,4687.335,4482.66,4584.9974999999995,4602.645,4099.125,4350.885,4762.905,4417.43,True,False,False,False,False,,,,,,
2026-04-01 19:30:00,4742.145,4756.57,4735.18,4754.055,26250.0,4742.854358197528,4738.430690429705,4718.759526546159,4716.5634,4687.335,4482.66,4584.9974999999995,4602.645,4099.125,4350.885,4762.905,4417.43,True,False,False,False,False,,,,,,
2026-04-01 19:45:00,4754.025,4768.87,4752.73,4760.89,17430.0,4746.461486558022,4740.7948282792095,4720.411701975721,4718.0349,4687.335,4482.66,4584.9974999999995,4602.645,4099.125,4350.885,4768.87,4417.43,True,False,False,False,False,,,,,,
2026-04-01 20:00:00,4760.96,4775.005,4758.575,4765.035,18629.0,4750.176189246418,4743.34642530245,4722.161635231576,4719.6995,4687.335,4482.66,4584.9974999999995,4602.645,4099.125,4350.885,4775.005,4417.43,True,False,False,False,False,,,,,,
2026-04-01 20:15:00,4765.055,4776.57,4762.59,4773.235,15421.0,4754.787951397135,4746.492591060087,4724.164512281318,4721.4673999999995,4687.335,4482.66,4584.9974999999995,4602.645,4099.125,4350.885,4776.57,4417.43,True,False,False,False,False,,,,,,
2026-04-01 20:30:00,4773.205,4787.03,4770.18,4785.84,17192.0,4760.998361117709,4750.634423580078,4726.5831588585215,4723.3952,4687.335,4482.66,4584.9974999999995,4602.645,4099.125,4350.885,4787.03,4417.43,True,False,False,False,False,,,,,,
2026-04-01 20:45:00,4785.945,4788.16,4782.515,4786.7,10790.0,4766.138688894167,4754.430800045333,4728.940682040541,4725.3745,4687.335,4482.66,4584.9974999999995,4602.645,4099.125,4350.885,4788.16,4417.43,True,False,False,False,False,,,,,,
2026-04-01 21:00:00,4786.685,4790.84,4774.305,4774.915,14722.0,4767.893951115334,4756.587031619509,4730.743596470324,4727.1313,4687.335,4482.66,4584.9974999999995,4602.645,4099.125,4350.885,4790.84,4417.43,True,False,False,False,False,,,,,,
2026-04-01 21:15:00,4774.855,4783.68,4774.595,4776.565,13005.0,4769.628160892267,4758.68997565956,4732.540514255802,4729.0226,4687.335,4482.66,4584.9974999999995,4602.645,4099.125,4350.885,4790.84,4417.43,True,False,False,False,False,,,,,,
2026-04-01 21:30:00,4776.595,4784.95,4775.36,4784.305,10521.0,4772.563528713814,4761.386294011186,4734.570494088908,4731.2288,4687.335,4482.66,4584.9974999999995,4602.645,4099.125,4350.885,4790.84,4417.43,True,False,False,False,False,,,,,,
2026-04-01 21:45:00,4784.31,4788.705,4781.965,4787.3,7364.0,4775.510822971051,4764.114052536324,4736.638317850128,4733.5244,4687.335,4482.66,4584.9974999999995,4602.645,4099.125,4350.885,4790.84,4417.43,True,False,False,False,False,,,,,,
2026-04-01 22:00:00,4787.305,4793.195,4786.675,4788.5,9523.0,4778.108658376841,4766.680994374607,4738.672109306986,4735.7527,4687.335,4482.66,4584.9974999999995,4602.645,4099.125,4350.885,4793.195,4417.43,True,False,False,False,False,,,,,,
2026-04-01 22:15:00,4788.505,4791.39,4782.33,4785.325,12407.0,4779.551926701473,4768.643521282543,4740.501634432203,4737.9293,4687.335,4482.66,4584.9974999999995,4602.645,4099.125,4350.885,4793.195,4417.43,True,False,False,False,False,,,,,,
2026-04-01 22:30:00,4785.355,4786.41,4775.915,4782.19,13483.0,4780.079541361179,4770.069466410696,4742.136472297607,4739.912899999999,4687.335,4482.66,4584.9974999999995,4602.645,4099.125,4350.885,4793.195,4417.43,True,False,False,False,False,,,,,,
