datetime,open,high,low,close,volume
2026-04-03 23:30:00,1.15193,1.15194,1.15141,1.1515,763.0
2026-04-03 23:45:00,1.1515,1.15164,1.15139,1.15145,331.0
2026-04-04 00:00:00,1.15145,1.15158,1.1514,1.15152,190.0
2026-04-04 00:15:00,1.15152,1.15157,1.1514199999999999,1.15147,273.0
2026-04-04 00:30:00,1.15147,1.1515,1.15141,1.15145,89.0
2026-04-04 00:45:00,1.15145,1.15145,1.15137,1.1514199999999999,172.0
2026-04-04 01:00:00,1.1514199999999999,1.15273,1.15138,1.15161,452.0
2026-04-04 01:15:00,1.15161,1.15187,1.15124,1.15156,329.0
2026-04-04 01:30:00,1.15156,1.15187,1.15106,1.15154,71.0
2026-04-04 01:45:00,1.15154,1.15198,1.1511,1.1513,78.0
2026-04-06 02:00:00,1.15198,1.1520299999999999,1.1518,1.15197,21.0
2026-04-06 02:15:00,1.15197,1.15229,1.1518599999999999,1.15199,33.0
2026-04-06 02:30:00,1.15199,1.15221,1.15185,1.15195,97.0
2026-04-06 02:45:00,1.15195,1.15198,1.15172,1.15195,24.0
2026-04-06 03:00:00,1.15195,1.15199,1.15052,1.15102,1886.0
2026-04-06 03:15:00,1.15102,1.15128,1.15079,1.15112,1985.0
2026-04-06 03:30:00,1.15112,1.15131,1.15095,1.15114,2235.0
2026-04-06 03:45:00,1.15114,1.15164,1.15114,1.15149,1573.0
2026-04-06 04:00:00,1.15149,1.15167,1.15113,1.15121,1530.0
2026-04-06 04:15:00,1.15121,1.15136,1.15091,1.15091,1040.0
2026-04-06 04:30:00,1.15091,1.15115,1.15083,1.15091,1054.0
2026-04-06 04:45:00,1.15091,1.15116,1.15089,1.15097,1210.0
2026-04-06 05:00:00,1.15097,1.15164,1.15093,1.15155,2847.0
2026-04-06 05:15:00,1.15155,1.15183,1.15139,1.15149,2121.0
2026-04-06 05:30:00,1.15149,1.15173,1.15139,1.15163,1570.0
2026-04-06 05:45:00,1.15163,1.15164,1.15107,1.15117,1493.0
2026-04-06 06:00:00,1.15117,1.15143,1.15079,1.15083,1828.0
2026-04-06 06:15:00,1.15083,1.15118,1.15079,1.15103,1493.0
2026-04-06 06:30:00,1.15103,1.15111,1.1508,1.15088,1309.0
2026-04-06 06:45:00,1.15088,1.15095,1.15062,1.15068,826.0
2026-04-06 07:00:00,1.15068,1.15229,1.15068,1.15193,2757.0
2026-04-06 07:15:00,1.15193,1.15286,1.15182,1.15243,3059.0
2026-04-06 07:30:00,1.15243,1.1526,1.15201,1.15208,1582.0
2026-04-06 07:45:00,1.15208,1.15227,1.1520299999999999,1.15205,1361.0
2026-04-06 08:00:00,1.15205,1.15228,1.15201,1.15213,1132.0
2026-04-06 08:15:00,1.15213,1.15232,1.1517,1.15216,2016.0
2026-04-06 08:30:00,1.15216,1.15218,1.15188,1.152,1102.0
2026-04-06 08:45:00,1.152,1.15201,1.15174,1.1519,891.0
2026-04-06 09:00:00,1.1519,1.15205,1.15184,1.15201,1056.0
2026-04-06 09:15:00,1.15201,1.15212,1.15189,1.15194,865.0
2026-04-06 09:30:00,1.15194,1.15237,1.15193,1.15223,881.0
2026-04-06 09:45:00,1.15223,1.15249,1.15216,1.15242,794.0
2026-04-06 10:00:00,1.15242,1.15261,1.15229,1.1526,878.0
2026-04-06 10:15:00,1.1526,1.15296,1.1526,1.15269,1001.0
2026-04-06 10:30:00,1.15269,1.15274,1.15248,1.1525,1010.0
2026-04-06 10:45:00,1.1525,1.15271,1.1524,1.15253,1153.0
2026-04-06 11:00:00,1.15253,1.15276,1.15241,1.15265,1480.0
2026-04-06 11:15:00,1.15265,1.15269,1.15228,1.15234,1030.0
2026-04-06 11:30:00,1.15234,1.15266,1.1522,1.15263,843.0
2026-04-06 11:45:00,1.15263,1.15375,1.15235,1.1533,4108.0
2026-04-06 12:00:00,1.1533,1.15345,1.15253,1.15302,2137.0
2026-04-06 12:15:00,1.15302,1.15346,1.153,1.15343,1328.0
2026-04-06 12:30:00,1.15343,1.15534,1.15343,1.15519,2316.0
2026-04-06 12:45:00,1.15519,1.15687,1.15517,1.15644,3952.0
2026-04-06 13:00:00,1.15644,1.15687,1.15554,1.1559,3419.0
2026-04-06 13:15:00,1.1559,1.15631,1.15564,1.15589,2223.0
2026-04-06 13:30:00,1.15589,1.15621,1.15572,1.15575,1686.0
2026-04-06 13:45:00,1.15575,1.1558599999999999,1.15538,1.15551,1496.0
2026-04-06 14:00:00,1.15551,1.15583,1.15549,1.1555199999999999,1449.0
2026-04-06 14:15:00,1.1555199999999999,1.15577,1.15536,1.15556,1244.0
2026-04-06 14:30:00,1.15556,1.15575,1.15541,1.15553,1485.0
2026-04-06 14:45:00,1.15553,1.15605,1.15475,1.15504,2838.0
2026-04-06 15:00:00,1.15504,1.15541,1.15493,1.15512,2056.0
2026-04-06 15:15:00,1.15512,1.15516,1.15473,1.15478,1097.0
2026-04-06 15:30:00,1.15478,1.15516,1.1546399999999999,1.1551,1023.0
2026-04-06 15:45:00,1.1551,1.15512,1.15372,1.15479,3569.0
2026-04-06 16:00:00,1.15479,1.15499,1.15423,1.15429,1661.0
2026-04-06 16:15:00,1.15429,1.1545,1.15402,1.1542999999999999,1276.0
2026-04-06 16:30:00,1.1542999999999999,1.15459,1.15418,1.15435,1019.0
2026-04-06 16:45:00,1.15435,1.15479,1.15435,1.15457,1481.0
2026-04-06 17:00:00,1.15457,1.15484,1.15442,1.15454,1484.0
2026-04-06 17:15:00,1.15454,1.15466,1.15426,1.1546,1789.0
2026-04-06 17:30:00,1.1546,1.15527,1.15459,1.15514,1680.0
