time,open,high,low,close,Volume
1762761900,4076.41,4083.17,4076.22,4081.36,2042
1762762200,4081.38,4081.43,4077.22,4079.1,1987
1762762500,4079.26,4079.88,4075.06,4076.49,1946
1762762800,4076.49,4079.39,4076.49,4078.7,1507
1762763100,4078.57,4081.03,4078.25,4080.41,1471
1762763400,4080.19,4082.73,4078.97,4082.5,1403
1762763700,4082.51,4085.12,4082.45,4084.79,1922
1762764000,4085.01,4085.01,4078.31,4078.94,1799
1762764300,4078.91,4082.22,4078.03,4080.64,1740
1762764600,4080.61,4083,4080.45,4081.72,1594
1762764900,4081.73,4082.29,4080.27,4082.04,1426
1762765200,4082.07,4083.36,4077.5,4078.09,1924
1762765500,4078.07,4080.69,4076,4079.67,1645
1762765800,4079.68,4080.6,4074.55,4075.12,1750
1762766100,4075.08,4078.42,4071.44,4078.32,1959
1762766400,4078.37,4079.05,4074.91,4076.82,1573
1762766700,4076.89,4080.4,4076.36,4080.09,1749
1762767000,4080.05,4082.42,4078.2,4082.36,1379
1762767300,4082.36,4086.29,4082.21,4085.86,1911
1762767600,4085.94,4086.45,4079.92,4081.17,1728
1762767900,4081.2,4082.34,4079.44,4080.43,1584
1762768200,4080.62,4082.23,4079.19,4079.43,1549
1762768500,4079.42,4080.43,4075.93,4076.68,1549
1762768800,4076.69,4081.17,4076.69,4080.88,1323
1762769100,4080.86,4080.98,4079.14,4079.14,1138
1762769400,4079.22,4081.54,4078.72,4081.34,1212
1762769700,4081.36,4082.81,4080.9,4081.91,1100
1762770000,4081.72,4082.27,4080.2,4080.68,1087
1762770300,4080.63,4081.65,4077.6,4077.93,1200
1762770600,4077.64,4080.05,4077.58,4078.63,1345
1762770900,4078.53,4082.78,4078.48,4082.65,1325
1762771200,4082.65,4083.45,4078.18,4078.23,1523
1762771500,4078.22,4079.46,4076.15,4077,1382
1762771800,4077.31,4078.82,4075.98,4078.16,1518
1762772100,4078.33,4081.34,4078.31,4080.83,1327
1762772400,4080.86,4082.3,4080.01,4081.49,1555
1762772700,4081.48,4082.19,4077.17,4077.46,1831
1762773000,4077.49,4078.65,4075.62,4078.03,1330
1762773300,4078.04,4079.18,4077.18,4077.76,798
1762773600,4078.18,4079.51,4077.79,4078.08,864
1762773900,4078.1,4080.5,4077.73,4079.07,1010
1762774200,4079.08,4080.79,4078.69,4080.7,998
1762774500,4080.71,4083.14,4080.08,4082.72,1263
1762774800,4082.74,4083.71,4080.82,4082.68,1547
1762775100,4082.76,4083.25,4080.81,4082.07,1543
1762775400,4082.07,4083.03,4081.17,4082.32,1157
1762775700,4081.89,4085.44,4081.27,4085.21,1304
1762776000,4085.44,4088.49,4084.22,4085.31,1890
1762776300,4085.29,4088.9,4084.63,4087.64,1738
1762776600,4087.59,4089.55,4087.49,4089.52,1504
1762776900,4089.54,4093.26,4088.07,4092.78,1951
1762777200,4092.77,4095.83,4092.72,4095,1747
1762777500,4095.01,4095.68,4091.91,4094.05,1635
1762777800,4094.13,4096.12,4093.78,4095.46,1539
1762778100,4095.48,4096.66,4093.88,4095.72,1394
1762778400,4095.72,4095.72,4094.13,4094.54,1342
1762778700,4094.7,4096.13,4093.54,4095.47,1528
1762779000,4095.59,4100.01,4094.94,4099.83,1837
1762779300,4099.9,4099.99,4096.89,4097.66,1815
1762779600,4097.72,4105.82,4097.02,4104.82,2283
1762779900,4104.94,4106.03,4102.04,4104.74,2212
1762780200,4104.76,4105.4,4099.62,4102.81,1987
1762780500,4102.79,4103.16,4098.68,4102.06,2078
1762780800,4102.34,4104.98,4101.07,4103.23,2004
1762781100,4103.25,4104.84,4101.03,4101.8,1769
1762781400,4101.8,4103.29,4098.73,4100.13,1658
1762781700,4099.94,4102.21,4095.98,4096.91,1963
1762782000,4096.97,4098.79,4095.21,4098.13,2257
1762782300,4098.15,4098.24,4093.67,4096.1,2078
1762782600,4096.09,4096.67,4090.42,4092,2068
1762782900,4092.05,4094.2,4090.79,4091.81,1793
1762783200,4091.64,4094.09,4086.99,4088.28,2173
1762783500,4088.23,4090.93,4085.83,4089.08,2028
1762783800,4088.95,4089.9,4083.93,4086.43,2046
1762784100,4086.41,4087.94,4082.4,4083.16,2147
1762784400,4082.98,4087.6,4081.99,4086.85,1947
1762784700,4086.87,4088.89,4084.5,4086.42,1781
1762785000,4086.41,4086.41,4075.17,4078.33,2322
1762785300,4078.14,4082.62,4074.15,4078.68,2318
1762785600,4078.9,4081.48,4077.99,4081.27,2309
1762785900,4081.43,4085.45,4079.18,4080.41,2313
1762786200,4080.36,4084.41,4078.32,4083.48,2292
1762786500,4083.4,4086.89,4083.31,4083.33,2224
1762786800,4083.56,4090.45,4083.56,4090.39,2263
1762787100,4090.45,4092.81,4088.1,4090.66,2259
1762787400,4090.65,4091.52,4087.18,4087.48,2277
1762787700,4087.47,4091.12,4086.73,4091.1,2083
1762788000,4091.16,4094.41,4090.54,4092.76,2008
1762788300,4092.89,4093.25,4087.67,4089.09,2162
1762788600,4088.77,4089.58,4084.77,4085.89,2149
1762788900,4085.75,4086.52,4082.65,4086.04,2074
1762789200,4086.46,4088.38,4085.52,4087.6,2041
1762789500,4087.5,4087.71,4077.74,4079.62,2228
1762789800,4079.6,4085.47,4078.69,4085.12,2175
1762790100,4085.28,4086.03,4083.13,4084.26,2066
1762790400,4084.32,4087.68,4081.84,4086.59,2012
1762790700,4086.56,4089.64,4084.55,4089.58,1953
1762791000,4089.5,4091.95,4089.18,4091.25,1968
1762791300,4091.43,4092.12,4089.54,4090.27,1967
1762791600,4090.54,4093.3,4089.87,4092.36,1740
1762791900,4092.35,4093.27,4091.25,4093.03,1744
1762792200,4092.92,4095.67,4092.04,4094.55,2177
1762792500,4094.48,4095.76,4094.48,4095.09,1736
1762792800,4094.24,4094.24,4090,4091.03,2029
1762793100,4090.93,4092.51,4088.6,4091.22,1847
1762793400,4091.1,4094.52,4091.05,4093.97,1685
1762793700,4093.98,4095.64,4093.76,4094.89,1653
1762794000,4094.98,4096.87,4093.93,4096.57,1733
1762794300,4096.48,4098.05,4094.92,4097.44,1891
1762794600,4097.46,4098.23,4094.2,4096.36,1987
1762794900,4096.25,4096.63,4093.29,4094.84,1982
